Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Dell;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.95kg;729.90
Lenovo;Ultrabook;12.5;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1650.00
HP;Notebook;15.6;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.31kg;1165.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.18kg;708.06
HP;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.95kg;1149.00
Lenovo;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Windows 10;2.2kg;309.00
HP;Ultrabook;12.5;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.26kg;1579.00
HP;Notebook;15.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;1TB HDD;Intel HD Graphics 400;No OS;1.86kg;288.90
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 6560U 2.2GHz;16GB;1TB SSD;Intel Iris Graphics 540;Windows 10;1.3kg;1799.00
Toshiba;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1105.00
HP;Netbook;12.5;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1669.00
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.18kg;558.60
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1199.00
Dell;Ultrabook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1639.00
Dell;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1080;Windows 10;4.36kg;2758.00
HP;Gaming;17.3;Intel Core i5 6300HQ 2.3GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 965M;Windows 10;2.75kg;1399.00
Asus;Notebook;17.3;Intel Pentium Quad Core N3710 1.6GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8kg;530.00
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.23kg;619.00
Toshiba;Notebook;15.6;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.2kg;1119.00
Lenovo;2 in 1 Convertible;11.3;Intel Core M m7-6Y75 1.2GHz;8GB;256GB SSD;Intel HD Graphics 515;Windows 10;1.1kg;1299.00
Lenovo;Gaming;15.6;AMD FX 8800P 2.1GHz;16GB;512GB SSD +  1TB HDD;AMD Radeon R9 M385;Windows 10;2.5kg;999.00
Dell;Ultrabook;12.5;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics;Windows 10;1.36kg;1472.20
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 920MX;No OS;2.2kg;685.00
Dell;Notebook;17.3;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;659.00
Acer;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.68kg;349.00
HP;Workstation;15.6;Intel Core i7 6820HQ 2.7GHz;8GB;8GB SSD;Nvidia Quadro M1000M;Windows 10;2.0kg;2249.00
Dell;Ultrabook;14;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1775.00
Toshiba;Notebook;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.2kg;1460.00
Asus;2 in 1 Convertible;12.5;Intel Core M M7-6Y75 1.2GHz;8GB;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.2kg;1159.00
Lenovo;Ultrabook;14;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.7kg;1488.99
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.36kg;3154.00
Dell;2 in 1 Convertible;13.3;Intel Core i5 7Y54 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;Windows 10;1.24kg;1899.00
HP;2 in 1 Convertible;11.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;256GB SSD;Intel HD Graphics 505;Windows 10;1.45kg;775.00
Dell;Ultrabook;13.3;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.3kg;1268.00
Acer;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.25kg;389.00
Toshiba;Notebook;13.3;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1535.00
Lenovo;Ultrabook;12.5;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1760.00
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;12GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.4kg;1009.00
Toshiba;Ultrabook;12.5;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1790.00
HP;Notebook;15.6;Intel Core i5 7200U 2.50GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.04kg;846.50
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;AMD Radeon R5 M430;Linux;2.25kg;465.62
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.9kg;825.00
HP;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.04kg;685.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;32GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;3149.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Nvidia GeForce 920MX;Windows 10;2.4kg;695.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 7Y75 1.3GHz;16GB;512GB SSD;Intel HD Graphics 615;Windows 10;1.22kg;1899.00
Dell;Ultrabook;14;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.5kg;1962.98
Dell;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;32GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2800.00
Toshiba;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.95kg;1180.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.73kg;2049.90
HP;Notebook;15.6;Intel Core i5 7200U 2.70GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows 10;2.04kg;979.00
Lenovo;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;508GB Hybrid;Intel HD Graphics 520;Windows 7;1.70kg;1002.00
Asus;2 in 1 Convertible;15.6;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD +  2TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.3kg;1799.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.04kg;579.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.99kg;1749.00
Dell;2 in 1 Convertible;15.6;Intel Core i7 7500U 2.7GHz;12GB;512GB SSD;Intel HD Graphics 620;Windows 10;2.19kg;1299.00
Toshiba;Notebook;13.3;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;1.2kg;1195.00
Lenovo;Notebook;15.6;AMD A12-Series 9720P 3.6GHz;6GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;549.00
Fujitsu;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;649.00
Toshiba;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.75kg;915.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon R5 M430;Windows 10;2.25kg;599.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.04kg;806.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.5kg;1189.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;749.00
Dell;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620 ;Windows 10;1.6kg;1119.00
HP;Netbook;12.5;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.97kg;1908.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;499.00
Lenovo;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;No OS;1.9kg;270.62
Lenovo;Notebook;15.6;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;1349.00
Dell;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.68kg;889.00
Asus;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.4kg;1150.00
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.11kg;1349.00
Acer;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;500GB HDD;Intel HD Graphics 505;Windows 10;2.4kg;380.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1799.00
HP;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;2089.00
Acer;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1260.00
HP;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.34kg;1189.00
Dell;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;547.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.64kg;779.00
Toshiba;Notebook;13.3;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1195.00
HP;Notebook;14;Intel Core i5 6300U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.48kg;1099.99
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;1205.00
HP;Ultrabook;14;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1449.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1049.26
HP;Notebook;14;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.64kg;684.00
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1.0TB Hybrid;Nvidia GeForce GTX 1050;Windows 10;2.65kg;949.00
HP;Ultrabook;12.5;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.26kg;1539.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1590.00
HP;Ultrabook;14;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.54kg;1887.21
HP;Notebook;13.3;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.49kg;800.00
Toshiba;Notebook;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.5kg;1210.00
HP;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;769.99
Lenovo;Notebook;17.3;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro 3000M;Windows 7;2.4kg;2968.00
Toshiba;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1490.00
HP;Notebook;14;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.43kg;2229.00
Dell;2 in 1 Convertible;15.6;Intel Core i3 6100U 2.3GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.08kg;795.99
Toshiba;Ultrabook;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1590.00
HP;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.11kg;1149.00
HP;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1185.43
Dell;Notebook;15.6;Intel Core i5 6300U 2.4GHz;8GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.09kg;1046.44
HP;Ultrabook;12.5;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1559.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.31kg;1189.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.95kg;1060.00
Dell;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1624.00
HP;Notebook;17.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63kg;1080.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;973.00
Acer;Notebook;15.6;AMD A9-Series 9420 3GHz;6GB;1TB HDD;AMD Radeon R5;Windows 10;2.1kg;409.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1191.80
HP;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.95kg;1195.00
HP;Notebook;15.6;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.84kg;1228.99
HP;Ultrabook;12.5;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1349.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.04kg;742.00
Toshiba;Ultrabook;14;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1725.00
Dell;Notebook;15.6;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;2.09kg;1062.95
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;1010.51
Lenovo;2 in 1 Convertible;15.6;Intel Core i7 6500U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;847.00
Vero;Notebook;14;Intel Atom X5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.45kg;210.80
Toshiba;Notebook;15.6;Intel Core i7 6500U 2.5GHz;16GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;1425.00
Lenovo;Notebook;15.6;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;1049.60
HP;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.54kg;1000.00
HP;Notebook;15.6;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD +  500GB HDD;Intel HD Graphics 520;Windows 10;1.84kg;2103.34
HP;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1469.00
MSI;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;3.78kg;1545.64
Lenovo;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.6kg;2289.99
Asus;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.2kg;287.90
Lenovo;Notebook;14;Intel Core i7 6600U 2.6GHz;16GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.1kg;2620.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Windows 10;1.91kg;979.00
Dell;2 in 1 Convertible;15.6;Intel Core i5 7200U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.3kg;1094.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;979.00
Dell;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.2kg;2254.00
HP;Notebook;15.6;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.31kg;705.15
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.96kg;499.00
Acer;Notebook;15.6;AMD A8-Series 7410 2.2GHz;8GB;1TB HDD;AMD Radeon R5;Windows 10;2.4kg;449.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 7500U 2.7GHz;12GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1299.00
MSI;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.94kg;1819.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;1070.00
Asus;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;1TB HDD;Nvidia GeForce GTX 965M;No OS;4kg;998.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics;Windows 10;2.25kg;559.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;16GB;2TB HDD;AMD Radeon R7 M445;Windows 10;2.32kg;989.99
MSI;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;1929.00
Dell;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1458.00
Asus;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;64GB;1TB SSD;Nvidia GeForce GTX 980 ;Windows 10;3.58kg;3975.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.62kg;798.01
Dell;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 970M;Windows 10;3.21kg;1329.00
Apple;Ultrabook;12;Intel Core M 1.1GHz;8GB;256GB Flash Storage;Intel HD Graphics 515;Mac OS X;0.920kg;1300.00
Dell;Notebook;15.6;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.06kg;481.98
HP;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.31kg;1199.00
HP;Ultrabook;12.5;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.26kg;1199.00
HP;Notebook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.49kg;1090.00
Lenovo;Ultrabook;12.5;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.3kg;1713.49
Lenovo;Notebook;17.3;Intel Core i5 6200U 2.3GHz;8GB;1.0TB HDD;AMD Radeon R5 M330;Windows 10;3.0kg;659.00
Lenovo;Notebook;15.6;Intel Core i5 6300HQ 2.3GHz;4GB;1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.3kg;977.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.78kg;2499.00
Lenovo;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;540.00
HP;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;2.31kg;940.00
Lenovo;Ultrabook;12.5;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.99kg;1399.00
Lenovo;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;32GB;512GB SSD +  1.0TB Hybrid;Nvidia GeForce GTX 980M;Windows 10;4.6kg;3240.00
Lenovo;2 in 1 Convertible;10.1;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Windows 10;0.69kg;646.27
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;2049.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;750.00
HP;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.54kg;1030.99
HP;Workstation;15.6;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;AMD FirePro W4190M;Windows 7;1.9kg;1495.00
Lenovo;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;180GB SSD;Intel HD Graphics 520;Windows 7;1.7kg;1199.00
HP;Notebook;13.3;Intel Pentium Dual Core 4405Y 1.5GHz;4GB;32GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.29kg;615.00
Acer;Notebook;15.6;AMD A8-Series 7410 2.2GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.4kg;387.00
Dell;Notebook;15.6;Intel Pentium Quad Core N3700 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Linux;2.2kg;393.49
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;No OS;1.86kg;345.99
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1599.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;1.4kg;818.35
HP;Netbook;12.5;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;2.4kg;1599.00
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.4kg;799.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;638.80
MSI;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;8GB;256GB SSD;Nvidia GeForce GTX 965M;Windows 10;2.6kg;1599.00
HP;Notebook;15.6;Intel Pentium Quad Core N3710 1.6GHz;4GB;1TB HDD;Intel HD Graphics 405;Windows 10;1.96kg;500.00
Asus;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.3kg;2299.00
Dell;Ultrabook;12.5;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.5kg;1135.15
Dell;Ultrabook;12.5;Intel Core i3 6100U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;1.5kg;1166.97
Acer;Notebook;15.6;Intel Celeron Dual Core 3205U 1.5GHz;4GB;16GB SSD;Intel HD Graphics;Chrome OS;2.20kg;209.00
HP;Workstation;17.3;Intel Core i7 6700HQ 2.6GHz;8GB;1TB HDD;AMD FirePro W6150M;Windows 7;3.0kg;2899.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4kg;1199.00
Dell;Ultrabook;12.5;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.5kg;1413.10
MSI;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.9kg;1511.19
Lenovo;2 in 1 Convertible;15.6;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;867.00
HP;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;1TB HDD;AMD Radeon R4;Windows 10;2.1kg;398.00
Asus;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.59kg;1339.00
